Ҳудуд ва банк номи,Банк номи,2024 йил Импорт шартнома сони,2024 йил Экспорт шартнома сони,2024 йил Импорт учун тўлов,2024 йил Экспорт тушуми,"Дебиторка 2024 йил 31 декабрь ҳолатига 
(минг долл)",2025 йил Ипморт шартнома сони,2025 йил Экспорт шартнома сони,2025 йил Импорт учун тўлов ,2025 йил Экспорт тушуми ,2025 йил ҳудуддаги банкларда экспорт шартнома сони,2025 йил ҳудуддаги банкларда экспорт тушум ,2025 йил ҳудуддаги банкларда импорт шартнома сони,2025 йил ҳудуддаги банкларда импорт тўлов ,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида  экспорт шартнома сони,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида  экспорт тушум,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида импорт шартнома сони,2025 йил Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида импорт тўлови ,"2025 йил бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларда экспорт шартнома сони","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган,   ҳудуддаги банкларида экспорт тушуми ","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларида импорт шартнома сони","2025 йил Бошқа ҳудудларда рўйҳатдан ўтган, ҳудуддаги банкларида импорт тўлови",2025 йил давомида  Россия Федерацияси Экспорт тушуми Шартнома сони,2025 йил давомида  Россия Федерацияси Экспорт тушуми Суммаси,2025 йил давомида  Россия Федерацияси Импорт тўлови Шартнома сони,2025 йил давомида  Россия Федерацияси Импорт тўлови Суммаси,2025 йил давомида  Хитой Экспорт тушуми Шартнома сони,2025 йил давомида  Хитой Экспорт тушуми Суммаси,2025 йил давомида  Хитой Импорт тўлови Шартнома сони,2025 йил давомида  Хитой Импорт тўлови Суммаси,2025 йил давомида  Қозиғистон Экспорт тушуми Шартнома сони,2025 йил давомида  Қозиғистон Экспорт тушуми Суммаси,2025 йил давомида  Қозиғистон Импорт тўлови Шартнома сони,2025 йил давомида  Қозиғистон Импорт тўлови Суммаси,2025 йил давомида  Бирлашган Араб Амирликлари Экспорт тушуми Шартнома сони,2025 йил давомида  Бирлашган Араб Амирликлари Экспорт тушуми Суммаси,2025 йил давомида  Бирлашган Араб Амирликлари Импорт тўлови Шартнома сони,2025 йил давомида  Бирлашган Араб Амирликлари Импорт тўлови Суммаси,2025 йил давомида  Туркия Экспорт тушуми Шартнома сони,2025 йил давомида  Туркия Экспорт тушуми Суммаси,2025 йил давомида  Туркия Импорт тўлови Шартнома сони,2025 йил давомида  Туркия Импорт тўлови Суммаси,2025 йил давомида  Бошқа давлатлар Экспорт тушуми Шартнома сони,2025 йил давомида  Бошқа давлатлар Экспорт тушуми Суммаси,2025 йил давомида  Бошқа давлатлар Импорт тўлови Шартнома сони,2025 йил давомида  Бошқа давлатлар Импорт тўлови Суммаси,"Дебиторка 2025 йил 31 декабрь ҳолатига 
(минг долл)",Белгиланган тоифа,2025 йилда ҳудуддаги улуши (фоизда),2025 йил давомида олинган банк даромади (минг сўмда),Мавжуд ходимлар,Банк манзили,Банк раҳбарлари,Банк раҳбарларининг тел рақами,,№,Сохалар,2025 йил экспорт сони,2025 йил экспорт сумма,2025 йил импорт сони,2025 йил импорт сумма,,№,Ҳудуд номи,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт  тушуми  Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Сони, Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Суммаси,,№,Банк номи,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган корхоналар Импорт тўлови Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Экспорт тушуми Суммаси,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Сони,Вилоят ҳудудида рўйҳатдан ўтган ва бошқа худуд банкларида фаолият юритаётган корхоналар Импорт тўлови Суммаси
Бизнесни ривожлантириш банки,Бизнесни ривожлантириш банки Ғазалкент БХМ,10,1,"13,926,443",0,31,4,1,"362,806","13,941",1,"13,941",4,"362,806",,,,,1,"81,193",4,"84,000",,,,,,,5,"402,206",1,"81,193",,,,,,,,,,,1,"13,941",3,"44,600",67,Барқарор,19,"3,583",2,"Бустонлик т, Газалкент ш, Марказий МФЙ, А. Темур к.",Джуракулов Чорибек Урунович,99-499-49-45,,21,Махсус кийимлар,100,"5,062,809",164,"4,398,228",,19,Пскент тумани,,,5,"52,799",,,,,,19,Пойтахт банк,,,,,,,392,"68,673,430"
Микрокредитбанк,Микрокредитбанк Ғазалкент БХО,7,2,"413,935","39,139",18,4,1,"537,023","58,974",1,"58,974",4,"537,023",,,,,0,0,0,0,,,,,,,3,"517,720",1,"58,974",,,,,,,,,,,,,1,"19,303",43,Самарадор,30,"25,753",2,"Бустонлик т., Маърифат МФЙ., Бустонлик к., 5",Ҳайдаров Хабибулла Ғузарович,71-276-56-55,,22,Тиббиёт махсулоти,,,54,"2,354,545",,20,Қуйичирчиқ тумани,,,1,"23,400",,,,,,20,Алоқабанк,1,"181,087",2,"280,216",72,"6,686,114",381,"58,002,949"
Гарант банк,Гарант банк Ғазалкент БХО,1,8,"4,269,975","524,698",27,7,5,"585,972","56,173",5,"56,173",7,"585,972",,,,,0,0,0,0,1,"14,703",2,"50,133",,,2,"107,194",4,"41,470",,,,,2,"415,000",,,,,,,1,"13,645",6,Самарадор,33,"40,348",2,"Бустонлик т., Газалкент ш., Лутфий к., 4",Ахмадов Олим Ахад угли ,98-130-47-48,,23,Қўмир махсулоти учун,4,"31,098",19,"68,338",,21,Юқоричирчиқ тумани,,,,,,,,,,21,Гарант банк,9,"123,510",36,"4,405,142",49,"39,823,494",82,"24,306,706"
Миллийбанк,Миллийбанк Ғазалкент БХМ,,,,,0,2,0,"358,779",0,,,2,"358,779",,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,2,"358,779",,,,,0,Ўртача,18,"7,245",2,"Бустонлик т,Газалкент ш,Марказий МФЙ,Олтинсарин к,12",Муродов Аъзамжон Собурович,93-220-67-02,,24,Тамаки махсулоти,7,"7,265",1,"30,000",,22,Тошкент шаҳар банклари,1,"54,779",,,"3,550","1,126,704,946","13,667","2,908,593,726",,22,Зираат банк,,,,,79,"54,368,649",244,"22,572,075"
Зангиота тумани,,535,85,"77,778,331","9,401,698","5,832","1,120",72,"98,715,800","9,930,026",72,"9,930,026","1,120","98,715,800",0,0,0,0,39,"22,015,896",452,"148,368,737",12,"4,784,103",707,"60,368,628",6,"1,310,616",333,"46,244,563",35,"21,688,582",75,"32,809,150",2,"685,128",13,"48,594,342",8,"965,879",107,"7,971,511",48,"2,511,614",337,"51,096,343","6,834",,5%,"4,427,951",,,,,,,,,,,,,23,Бошқа ҳудуд банклари,,,,,540,"165,249,537","1,839","769,205,176",,23,Ҳаёт банк,,,,,80,"11,008,658",181,"17,453,595"
Инфинбанк,Инфинбанк Зангиота филиали,196,24,"23,953,734","6,612,685","1,021",210,32,"26,010,447","8,121,165",32,"8,121,165",210,"26,010,447",,,,,24,"715,840",107,"23,220,018",5,"4,641,800",95,"4,504,211",6,"1,310,616",106,"28,110,927",21,"1,477,954",27,"12,332,908",1,"14,850",2,"298,635",3,"845,764",53,"2,462,157",20,"546,021",34,"1,521,627",302,Барқарор,31,"1,073,282",1,"Зангиота т., Эшонгузар кургони, Мустакиллик к.",Мусаев Бахтиёр Талибович,50-111-07-70,,,,,,,,,,,,,,,,,,,,24,Анор банк,,,,,9,"1,596,198",55,"17,280,189"
Туронбанк,Туронбанк Зангиота БХМ,120,10,"14,254,411","1,101,682",0,113,15,"12,307,735","233,251",15,"233,251",113,"12,307,735",,,,,7,"20,461,593",107,"30,355,707",4,"32,781",31,"5,177,377",,,99,"9,312,744",10,"20,040,793",22,"8,092,839",,,1,"671,190",,,28,"2,857,467",8,"621,269",39,"16,551,825",679,Ўртача,12,"929,648",1,"Зангиота т., Ешонгузар кургони, Мустакиллик к., 19",,,,,,,,,,,,,,,,,,,,,,25,Микрокредитбанк,23,"4,384,987",53,"14,774,610",24,"4,473,297",84,"15,926,727"
Универсалбанк,Универсалбанк Зангиота БХМ,159,32,"32,819,331","64,809",105,741,11,"53,343,414","988,450",11,"988,450",741,"53,343,414",,,,,5,"832,394",194,"24,255,855",,,566,"48,172,621",,,88,"5,770,845",1,"16,735",21,"3,914,316",1,"670,278",2,"5,912,050",3,"82,000",9,"171,517",11,"1,051,831",249,"13,657,919","1,836",Самарадор,50,"1,479,808",1,"Зангиота т., Эшонгузар МФЙ, Мустакиллик к., 24",Бойсариев Зоир Холмўминович,94-630-49-44,,,,,,,,,,,,,,,,,,,,26,Халқ банк,7,"231,394",19,"4,132,445",15,"864,995",214,"14,643,252"
Ипотека банк,Ипотека банк Зангиота филиали,27,8,"4,768,305","480,922","3,428",24,10,"3,028,998","519,823",10,"519,823",24,"3,028,998",,,,,2,"4,950",14,"773,408",2,"101,926",7,"348,671",,,15,"1,184,236",3,"153,100",1,"5,800",,,,,1,"36,995",9,"1,865,119",6,"232,753",6,"398,581","3,726",Самарадорлиги паст,3,"177,931",2,"Зангиота к.ф.й., ""Урта"" м.ф.й., А.Темур к., 178",Эрдонаев Шерали Хакимович,97-444-40-64,,,,,,,,,,,,,,,,,,,,27,Бизнесни ривожлантириш банки,29,"1,720,332",18,"935,411",36,"57,655,708",57,"12,662,116"
Гарант банк,Гарант банк Зангиота БХО,27,7,"1,743,466","688,423",146,29,4,"3,819,171","67,337",4,"67,337",29,"3,819,171",,,,,0,0,24,"69,463,619",1,"7,597",7,"2,070,108",,,23,"1,669,775",,,1,"8,441,627",,,8,"41,712,467",,,6,"569,250",3,"59,740",8,"18,819,564",60,Самарадорлиги паст,4,"718,816",2,"Зангиота т., Эшонгузар кургони, Мустакиллик к., 4",Ганиходжаев Шухрат Ахрарович,97-762-05-55,,,,,,,,,,,,,,,,,,,,28,Агробанк,12,"2,042,338",48,"7,072,285",56,"9,349,479",64,"6,504,882"
Халқ банк,Халқ банк Зангиота БХМ,6,4,"239,084","453,178","1,133",3,0,"206,036",0,,,3,"206,036",,,,,1,"1,120",6,"300,129",,,1,"95,641",,,2,"196,036",,,3,"21,661",,,,,1,"1,120",2,"46,000",,,1,"146,827",231,Самарадорлиги паст,0,"48,466",2,"Зангиота т., Эшонгузар мавзеси, Мустакиллик к., 22",Пирматов Жамшид Азимович ,99-152-19-77,,,,,,,,,,,,,,,,,,,,29,Янги банк,,,,,3,"337,278",11,"1,715,635"
Қибрай тумани,,159,103,"18,102,159","16,767,214","9,880",142,114,"22,302,879","46,225,049",114,"46,225,049",142,"22,302,879",0,0,0,0,18,"6,474,672",107,"11,661,962",28,"42,428,431",35,"2,044,440",0,0,62,"10,480,382",41,"952,989",47,"6,051,095",4,"2,758,210",5,"322,500",4,"527,520",20,"5,451,531",55,"6,032,572",80,"9,614,893","10,177",,3%,"7,363,186",,,,,,,,,,,,,,,,,,,,,,,,30,Апекс банк,,,,,4,"805,377",18,"501,000"
Инфинбанк,Инфинбанк Тошкент вилоят филиали,131,85,"16,784,931","14,393,722","8,296",106,110,"17,029,421","45,718,943",110,"45,718,943",106,"17,029,421",,,,,15,"6,389,587",103,"11,448,129",25,"42,118,153",27,"1,540,491",,,57,"9,996,659",39,"793,245",31,"1,952,836",4,"2,758,210",5,"322,500",4,"527,520",17,"5,343,576",53,"5,911,402",72,"9,321,487","8,408",Самарадор,92,"4,604,883",1,"Кибрай т., Кибрай ш., Зебунисо к., 7-а",Ғайратов Дониёр Ғайратович ,90-327-55-33,,,,,,,,,,,,,,,,,,,,31,Содерат банк,,,,,1,"186,612",10,"431,551"
Ўзсаноатқурилишбанк,Ўзсаноатқурилишбанк Қибрай БХМ,21,16,"1,161,846","1,619,026",642,27,4,"1,757,395","506,106",4,"506,106",27,"1,757,395",,,,,2,"70,174",2,"138,833",3,"310,278",4,"327,816",,,5,"483,723",1,"144,833",9,"683,329",,,,,,,3,"107,955",2,"121,170",8,"293,406",735,Ўртача,3,"2,749,376",2,"Кибрай т., Зебинисо к., 7",Касимов Имамиддин,94-711-11-44,,,,,,,,,,,,,,,,,,,,32,Мадад инвест банк,,,,,3,"4,356,021",8,"241,323"
Гарант банк,Гарант банк Қибрай БХО,5,1,"100,069",0,0,0,0,0,0,,,,,,,,,1,"14,911",2,"75,000",,,,,,,,,1,"14,911",2,"75,000",,,,,,,,,,,,,801,Самарадорлиги паст,0,977,2,"Кибрай т., Зебинисо МФЙ, Зебинисо к., 2",Аброров Бобурхон Алишерович ,97-464-18-68,,,,,,,,,,,,,,,,,,,,33,Аво банк,,,,,,,,
Халқ банк,Халқ банк Қибрай БХМ,2,1,"55,314","754,466",942,9,0,"3,516,063",0,,,9,"3,516,063",,,,,0,0,0,0,,,4,"176,133",,,,,,,5,"3,339,930",,,,,,,,,,,,,233,Ўртача,5,"7,950",2,"Кибрай т., Кибрай кургони, Зебунисо к., 5",Исломов Олимжон Ахмадович,99-924-00-40,,,,,,,,,,,,,,,,,,,,34,ТБС банк,,,,,,,,
Қуйичирчиқ тумани,,0,1,0,"80,856",2,1,0,"23,400",0,0,0,1,"23,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"23,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,0.00%,371,,,,,,,,,,,,,,,,,,,,,,,,35,Туркистон банк,,,,,,,,
Агробанк,Агробанк Қуйичирчиқ филиали,,1,,"80,856",2,1,0,"23,400",0,,,1,"23,400",,,,,0,0,0,0,,,,,,,1,"23,400",,,,,,,,,,,,,,,,,30,Самарадор,100,371,2,"Куйичирчик т., Машраб МФЙ, Арчазор к., 154",Талипов Мурод Айдарбекович ,97-742-85-92,,,,,,,,,,,,,,,,,,,,36,Узум банк,,,,,,,,
Нурафшон шаҳар,,379,303,"127,635,018","52,498,287","14,528",432,176,"65,949,554","14,396,658",176,"14,396,658",432,"65,949,554",0,0,0,0,117,"15,268,251",269,"115,291,874",72,"9,722,541",54,"14,671,023",4,"1,120,224",329,"42,706,232",57,"5,809,469",43,"5,472,975",3,"684,138",12,"3,525,425",12,"1,120,205",57,"3,379,893",145,"11,208,330",206,"111,485,880","17,892",,4%,"3,105,813",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Миллийбанк Амалиёт БХМ,124,76,"75,574,198","19,071,122","1,008",250,59,"28,697,751","3,622,096",59,"3,622,096",250,"28,697,751",,,,,40,"7,713,533",97,"38,689,910",17,"3,076,290",16,"3,487,732",2,"831,879",226,"29,385,821",26,"2,793,662",5,"299,653",3,"684,138",7,"1,696,504",,,4,"40,908",51,"3,949,660",89,"32,477,044","1,351",Самарадор,40,"1,111,860",,"Нурафшон ш., Обод МФЙ, Тошкент йули к., 10",Кунаров Руслан Рустамович,97-700-27-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Алоқабанк,Алоқабанк Тошкент вилояти БХМ,4,3,"12,091","213,330",0,2,1,"280,216","181,087",1,"181,087",2,"280,216",,,,,0,0,2,"142,300",,,,,,,2,"202,986",1,"181,087",,,,,,,,,,,,,2,"219,530","1,071",Самарадорлиги паст,1,"12,231",,"Нурафшон ш., Маърифат МФЙ, Бобур к., 1.",Усанов Бобурмирзо,90-045-26-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Ўзсаноатқурилишбанк Амалиёт БХО,20,11,"19,961,545","4,068,119",169,9,7,"847,835","802,831",7,"802,831",9,"847,835",,,,,1,"128,000",5,"1,091,803",2,"198,196",1,"6,598",2,"288,345",2,"393,060",,,,,,,,,1,"9,600",3,"107,593",3,"434,690",8,"1,432,388","1,668",Самарадорлиги паст,2,"23,087",2,"Нурафшон ш., Тошкент йули к., 40",Абдиев Бегзод Бахронович,94-711-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Асакабанк,Асакабанк Нурафшон БХМ,106,53,"18,149,256","8,966,939",251,56,23,"14,747,768","3,784,766",23,"3,784,766",56,"14,747,768",,,,,45,"2,962,455",71,"8,497,043",13,"1,460,416",11,"4,018,764",,,49,"5,311,947",6,"453,554",7,"743,702",,,1,"4,617",6,"582,245",13,"1,379,540",43,"4,251,006",46,"11,786,241",270,Барқарор,23,"468,316",2,"Нурафшон ш., Обод МФЙ, Тошкент йули к., 50",Рўзибоев Дилмурод Баходирович,98-190-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Микрокредитбанк Нурафшон БХО,48,27,"7,565,303","2,515,006",40,34,10,"11,893,250","3,053,813",10,"3,053,813",34,"11,893,250",,,,,14,"2,593,721",53,"5,986,163",9,"3,501,024",16,"6,073,154",,,12,"909,944",6,"1,522,740",28,"4,340,193",,,2,"1,713,087",3,"42,436",13,"868,048",6,"581,333",16,"3,974,988",19,Барқарор,19,"832,123",2,"Нурафшон ш., Кумарик МФЙ, Тошкент йули к., 123",Мирсагатов Отабек Рустамович,97-779-62-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Ҳамкорбанк Нурафшон БХО,48,101,"4,850,056","15,483,983",64,56,59,"4,436,231","1,040,602",59,"1,040,602",56,"4,436,231",,,,,8,"1,316,191",6,"150,712",29,"1,372,642",2,"853,448",,,23,"1,630,493",11,"420,355",2,"3,772",,,1,"12,600",,,7,"239,624",27,"563,796",27,"1,847,006",375,Ўртача,7,0,1,"Нурафшон ш., Тошкент йули к., 32",Азимбаев Баходир Тургунбаевич,99-400-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бизнесни ривожлантириш банки Нурафшон БХО,7,14,"360,892","598,104","1,263",3,11,"93,492","571,996",11,"571,996",3,"93,492",,,,,9,"554,351",24,"1,181,659",2,"113,973",2,"93,102",,,8,"392,774",7,"438,071",1,"85,656",,,,,2,"485,924",12,"575,701",9,"88,380",4,"127,919","1,269",Самарадорлиги паст,1,"537,934",2,"Нурафшон ш., Мукумий МФЙ, Тошкент йули к., 143/150",Холмухаммедов Шухрат,99 000-66-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Агробанк Ҳудудий филиали,22,18,"1,161,678","1,581,685","11,734",22,6,"4,953,011","1,339,467",6,"1,339,467",22,"4,953,011",,,,,0,0,11,"59,552,283",,,6,"138,225",,,7,"4,479,207",,,,,,,1,"98,617",,,5,"168,480",6,"1,339,467",14,"59,620,765","11,869",Ўртача,8,"120,262",2,"Нурафшон ш., Навруз махалласи, Тошкент йули к., 161",Абдазимов Мурод Илхомович,98-307-60-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Оққўрғон тумани,,7,5,"1,659,703","950,984","2,414",1,6,"874,290","1,094,237",6,"1,094,237",1,"874,290",0,0,0,0,0,0,0,0,5,"1,012,776",1,"874,290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"81,461",0,0,"3,017",,0%,"4,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Микрокредитбанк Оққўрғон БХО,7,5,"1,659,703","950,984","2,414",1,6,"874,290","1,094,237",6,"1,094,237",1,"874,290",,,,,0,0,0,0,5,"1,012,776",1,"874,290",,,,,,,,,,,,,,,,,1,"81,461",,,"3,017",Самарадор,100,"4,822",2,"Оккургон ш., Бирлик МФЙ, Охунбобоев к., 1",Кадирбеков Медр,99-375-07-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Олмалиқ шаҳар,,603,141,"2,071,541,228","37,893,563","1,001",527,128,"1,058,415,260","518,984,741",128,"518,984,741",527,"1,058,415,260",0,0,0,0,4,"1,977,844",6,"4,713,626",21,"38,302,800",62,"42,243,858",3,"643,776",143,"11,283,293",15,"2,571,070",20,"14,475,298",7,"262,254",26,"17,779,693",15,"17,720,415",49,"3,776,253",71,"461,462,270",233,"973,570,492","2,259",,71%,"168,734",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипотека банк,Ипотека банк Олмалиқ филиали,466,86,"1,620,581,832","30,552,914",115,397,73,"914,022,975","511,357,134",73,"511,357,134",397,"914,022,975",,,,,0,0,3,"44,363",12,"37,783,214",37,"8,103,115",2,"546,000",81,"3,363,110",,,14,"12,174,085",4,"240,054",26,"17,779,693",9,"13,087,940",27,"1,495,757",46,"459,699,926",215,"871,151,578",409,Самарадор,90,"137,095",,"Олмалик ш., Фахрийлар к., 27",Анаркулов Музаффар Абдужалилович ,97-757 72 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ҳамкорбанк,Ҳамкорбанк Олмалиқ БХО,91,41,"8,737,912","5,811,903",321,66,34,"10,447,741","5,530,079",34,"5,530,079",66,"10,447,741",,,,,4,"1,977,844",2,"348,460",8,"335,403",11,"1,072,050",1,"97,776",35,"6,864,070",10,"2,271,260",3,"1,527,831",,,,,6,"4,632,475",14,"1,139,060",13,"171,009",5,"193,191",275,Ўртача,1,"261 008 ,96",1,"Олмалик ш., Мустакиллик к., 10",Турғунов Абдукодир Анварович,99-304-72-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ўзсаноатқурилишбанк,Ўзсаноатқурилишбанк Олмалиқ БХМ,26,14,"1,436,241","1,528,746",565,49,18,"3,630,361","450,487",18,"450,487",49,"3,630,361",,,,,0,0,0,0,,,8,"430,077",,,25,"963,975",5,"299,810",3,"773,383",3,"22,200",,,,,8,"1,141,436",10,"128,477",5,"321,491","1,574",Самарадорлиги паст,0,"20,796",2,"Олмалик ш., Амир Темур к., 28",Темиров Нуриддин Рахмеддинович,94-711-15-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Миллийбанк Металург БХО,16,,"440,660,338",,0,12,2,"130,216,638","1,462,857",2,"1,462,857",12,"130,216,638",,,,,0,0,1,"4,320,803",,,5,"32,633,209",,,,,,,,,,,,,,,,,2,"1,462,857",8,"101,904,232",0,Барқарор,8,"5,421",2,"Олмалик ш., Амир Темур к., 53",Умаров Умид Сайдакбарович,94-652-02-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Миллийбанк,Миллийбанк Олмалиқ БХМ,4,,"124,905",,0,3,1,"97,545","184,183",1,"184,183",3,"97,545",,,,,0,0,0,0,1,"184,183",1,"5,407",,,2,"92,138",,,,,,,,,,,,,,,,,0,Ўртача,0,"5,421",2,"Олмалик ш., А.Темур к., 31",Умаров Умид Сайдакбарович,94-652-02-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Оҳангарон тумани,,50,36,"4,577,126","8,352,781",744,164,31,"9,600,358","7,731,596",31,"7,731,596",164,"9,600,358",0,0,0,0,4,"366,978",7,"870,317",5,"1,525,728",2,"102,321",1,"46,677",153,"8,776,976",6,"3,393,339",4,"888,300",0,0,1,"6,936",0,0,2,"34,837",23,"3,132,829",9,"661,305",809,,1%,"85,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ипотека банк,Ипотека банк Оҳангарон филиали,50,31,"4,577,126","7,513,126",625,161,29,"9,558,366","7,213,274",29,"7,213,274",161,"9,558,366",,,,,4,"366,978",6,"797,992",5,"1,525,728",,,1,"46,677",153,"8,776,976",6,"3,393,339",4,"888,300",,,,,,,2,"34,837",21,"2,614,508",8,"656,245",697,Самарадор,97,"78,000",2,"Охангарон т., Охангарон ш., Охунбобоев к., 1",Абдувалиев Журабек Абдукамилович,97-140-90-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Агробанк Оҳангарон филиали,,5,,"839,655",119,3,2,"41,992","518,322",2,"518,322",3,"41,992",,,,,0,0,1,"72,325",,,2,"102,321",,,,,,,,,,,1,"6,936",,,,,2,"518,322",1,"5,060",112,Ўртача,3,"7,751",2,"Охангарон т., Нуробод МФЙ, Нуробод к., 402",Эшанкулов Аббас Абдувахобович,99-923-95-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Оҳангарон шаҳар,,4,8,"133,891","353,198",297,6,9,"157,167","908,580",9,"908,580",6,"157,167",0,0,0,0,0,0,1,"31,050",3,"802,603",1,"22,614",1,"17,519",4,"136,329",2,"54,303",0,0,0,0,0,0,0,0,0,0,3,"34,155",2,"29,275",383,,0.05%,"7,969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бизнесни ривожлантириш банки,Бизнесни ривожлантириш банки Оҳангарон БХМ,4,8,"133,891","353,198",297,6,9,"157,167","908,580",9,"908,580",6,"157,167",,,,,0,0,1,"31,050",3,"802,603",1,"22,614",1,"17,519",4,"136,329",2,"54,303",,,,,,,,,,,3,"34,155",2,"29,275",383,Самарадор,100,"7,969",2,"Охангарон ш., Навбахор МФЙ, А.Темур к., 15",Исматов Шерзод Арифович,98-127-48-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Паркент тумани,,11,9,"2,668,545","25,550,704",117,3,2,"186,739","203,665",2,"203,665",3,"186,739",0,0,0,0,0,0,0,0,1,"162,065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"185,500",1,"41,600",1,"1,239",251,,0.02%,"7,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Микрокредитбанк,Микрокредитбанк Паркент БХО,7,1,"2,605,897","21,102",8,0,1,0,"41,600",1,"41,600",,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,"41,600",,,14,Ўртача,11,"5,758",2,"Паркент т., Ойбек МФЙ, А.Навоий шох к.",Гофоров Абдувохид Абдулхакович,93-887-01-01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Агробанк,Агробанк Паркент филиали,4,8,"62,648","25,529,602",108,3,1,"186,739","162,065",1,"162,065",3,"186,739",,,,,0,0,0,0,1,"162,065",,,,,,,,,,,,,,,,,2,"185,500",,,1,"1,239",237,Самарадор,89,"1,778",2,"Паркент т., Булокбоши МФЙ, Сой сохили к., 66",Хамлетов Темурбек Диёр ўғли ,94-093-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Пскент тумани,,1,2,"28,520","350,808",519,5,0,"52,799",0,0,0,5,"52,799",0,0,0,0,1,"185,449",0,0,1,"185,449",3,"23,770",0,0,1,"17,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"11,229",519,,0.00%,857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
